,USDBCH,USDDOGE,USDBTC,USDLTC,USDUSDT,USDETH,USDLINK,USDBNB,USDADA,USDBUSD,USDXRP,USDPKR,USDNOK,USDKRW,USDHUF,USDCHF,USDBRL,USDHKD,USDRUB,USDJPY,USDDKK,USDSGD,USDILS,USDSEK,USDCAD,USDZAR,USDMXN,USDINR,USDCZK,USDCNY,USDCLP,USDPLN,USDTRY,USDEUR,USDNZD,USDGBP,USDAUD
2009-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008945746558458367,0.0,0.02805795279515788,0.004032741795576555,0.004465489245850024,0.0,0.00042533173293657356,0.0159672365942507,0.007827390964618708,0.0013602199647066993,0.0016747617379593849,0.0,0.0,0.0033605408486409027,0.0,0.0,0.0047184414139000985,0.0006799417454770307,0.0002633349928899964,0.012053179267555336,0.0010399761427686283,0.0,0.0006080413655451533,0.005749807179019295,0.0,0.0
2009-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006341175338447691,0.0,0.0,0.0,0.0,0.0,0.0,0.006770217856979066,0.010084864105690095,0.0,0.0,0.0,0.0,0.0,0.0032206147000422014,0.0,0.0,0.0034411763025974373,8.776292314682799e-05,0.0,0.01189819284063498,0.013291080581116277,0.0,0.0,0.0,0.0
2009-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005574575997654652,0.004061294118367087,0.03749122831784302,0.014853299265411596,0.0055378203293112715,0.0,0.02318925079087597,0.0,0.014859219797024092,0.003620762974027636,0.010424905462998124,0.01568879016054714,0.004955253106220997,0.016344792810894848,0.0,0.0,0.019405989790137745,0.0,0.006198450113358511,0.020639613851989758,0.009595184388007438,0.01461427592616027,0.006055619936490175,0.019520499289577442,0.0038730869211573427
2009-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036753098845565546,0.02530344336721435,0.0051451785685383555,0.01902045783552264,0.012545674922702782,0.008881428648519485,3.867050794204019e-05,0.0,0.0,0.016599702176520292,0.008729605965059561,0.00826237594751933,0.01567218146124283,0.00975849705170087,0.015887359762319253,0.01262525288308236,0.01046056097801884,0.017498917753768328,0.0008336441699914321,0.0045638415417794675,0.026239695251729422,0.015869996671488418,0.017156246469354486,0.0453724881675972,0.03928711458314982,0.034158918811318995
2009-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018957351648989373,0.0,0.0029282597790878384,0.0,0.004610106890598181,0.0,0.00018044260040950277,0.0,0.0,0.0,0.0,0.0002571024567448177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037807228399060477,0.0074419620222234695,0.004376374599798893,0.007283151950587374,0.0018207834396923028,0.0,0.0,0.0037254505798069992,0.0,0.0038258333777385634,0.0,0.011755821559652047,0.009543757375442219,0.0,0.008008050803342659,0.01753170352307043,0.0,0.019035660444790548,0.0,0.0,0.019834813777502625,0.002668932798641499,0.0042270362290452446,0.0094358126017704,0.008693520283801881,0.013036413211719833
2009-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012152927351412046,0.019061193502293072,0.0010389611324189418,0.005897944212369999,0.0,0.006369156568194256,0.00022522522617762775,0.00048809400264770986,0.00346805736420025,0.008852972959107364,0.0,0.0,0.017101192719323866,0.0,0.0010198879007456974,0.0,0.0003217267982300598,0.0033797408851095057,0.008162099182414506,0.010545124983201148,0.0,0.0,0.0033973071093979512,0.0
2009-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002965312314238133,0.0,0.002137113461726514,0.0,0.0,0.0,0.0,0.0,0.0,0.0028459261507736144,0.0,0.0,7.310529358672824e-05,0.0,0.0,0.0,0.0,0.008322348015595837,0.0,0.0
2009-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0050193698665543796,0.0,0.0,0.0018436421533978564,0.014105334060128816,0.00014178820732579922,0.007118829005428928,0.0,0.0002297408356766173,0.0033297846428985145,0.007031671363680658,0.00786797874077294,0.00334789844408126,0.0,0.012563201601152763,0.0039098722511718975,0.0,0.0,0.0,0.0020405720680476414,0.0,0.0,0.0,0.0,0.0
2009-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01055718045860865,0.0,0.0,0.026118347767718042,0.016285914887138375,0.001871304279855046,0.0,0.00025021894287946544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00311656973783625,0.011769308213274376,0.0,0.0
2009-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006367399132667373,0.019415229656790656,0.0,0.0369253180583069,0.00017356591209083394,0.014225740429277267,0.0,0.030499963439603484,0.0,0.01395905075764814,0.0029927199538717364,0.01341968449136699,0.016694507770502298,0.007217879105154618,0.014471739686654939,0.010452748196252859,0.002052967257694327,0.020705459994904807,0.0,0.0013076170545778254,0.027216026473322552,0.013166180101455538,0.013567065109737542,0.020838106890219255,0.0,0.01957425367594612
2009-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005079376000021618,0.008875283039877946,0.008002952862801394,0.03432009772408229,0.007176547164203545,0.010926227325109505,0.0,0.0215672040651973,0.00044469150260262325,0.014178510741947425,0.0017250535063420003,0.0019728736362072397,0.023126612768842758,0.002530303761957814,0.02255099785844994,0.009960800650420598,0.0012297603517432698,0.021666196901737322,0.0,0.006593698845587248,0.025142048210523127,0.0040867420933726195,0.013831909078376725,0.010584183479280584,0.0,0.027339385266528515
2009-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008620690189055091,0.0,0.0,0.024700745349532482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039376731563770306,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018010482812439887,0.054327047188373,0.18342723635532554,0.07017451188883458,0.0012917116973646392,0.00041280735383297795,0.2051910693443424,0.0,0.07769034795097274,0.03496389490330376,0.06834405030209911,0.07936308158122607,0.022302731358934708,0.0886721714104648,0.054545470916475214,0.011572768134000544,0.12696936199750564,0.003511342305639209,0.0,0.15095636098841037,0.07078930254062821,0.07689474180615963,0.14727858122197657,0.017153793997752964,0.11808229191879371
2009-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013295542481244205,0.023992825536699236,0.12183556445673815,0.057690020270407594,0.011898278607955448,0.05300224637780038,0.00036106669809932157,0.00197413751001152,0.08308198882827611,0.021358710268362335,0.027888176922408525,0.031188312939023355,0.09914597282487048,0.03806523993903735,0.03704575657857534,0.0658594867622333,0.06232732542007424,0.019864175885464963,0.0,0.0,0.08347572215732213,0.049379592614283596,0.02091929069151277,0.025074024462848454,0.016099768735153064,0.002856238057305893
2009-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037664827954770885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02378644367722771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011834457647002417,0.0,0.0,0.0,0.0,0.0,0.00012902393411895474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007034026657380288,0.038523376080860317,0.03011770554614479,0.0,0.025117599531291265,0.014865557118580952,0.0,0.02472072701351946,0.002818814832996175,0.025228477115660786,0.009764958649026934,0.0,0.041789630072733175,0.07290532618796157,0.0,0.0030852874572375732,0.02323230149326827,0.0,0.00010247626585457859,0.0,0.004057967321481559,0.009226304610748803,0.02577863872501368,0.04585956396356694,0.013300733569530376,0.03520879360278478
2009-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01319344815528023,0.0,0.0,0.0,0.0,0.0,0.00014192724317263483,0.021082161767595586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03290701146754538,0.021888133787201003,0.0,0.0,0.029381874194502444,0.0,0.0,0.0,0.0,0.005394814457417685,0.0
2009-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00906076872351047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020493793069421673,0.0
2009-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005995221793896555,0.0,0.0027458038161833898,0.02943842340336289,0.0,0.0,0.0,0.0,0.0058846558535980975,0.0,0.0,0.0015927797367860652,0.0024846497004926693,0.0,0.04527984902468729,0.0,0.0,0.025039545316881462,0.00011719207794969044,0.0,0.0028945574999736934,0.010362787035546661,0.0,0.0,0.0,0.0
2009-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037718182703709857,0.0,0.0,0.0,0.0005303633112916373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19202962469109108,0.20007711795318173,0.253260332767276,0.1481996437246975,0.27234963696366343,0.0003225494334966328,0.16474988539552804,0.05017774958571941,0.15808838507928802,0.08797106127285836,0.06764873772015156,0.19791151055697265,0.1608570678783322,0.3028028311381148,0.12682657555270405,0.05002625826996043,0.25529344857942515,0.0019319152453716182,0.13907020002159154,0.2787233118673915,0.09415723207504256,0.15685752179861662,0.3232087858063142,0.14526279644298462,0.34215382366178704
2009-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01265784180220808,0.01674536602380794,0.026726224719861413,0.0,0.009051833523911812,0.00010319384973822565,0.017196833255960886,0.0,0.006040650655538826,0.004766642590217751,0.01962771548044051,0.02112226625644764,0.00750639143471582,0.00904192543197846,0.004318914893402415,0.0045193174700921546,0.028557508528530562,0.0,0.013147342974406229,0.04881526753916443,0.01302950029033384,0.006475039200287247,0.010966920884518339,0.007956490885257073,0.012253178271304455
2009-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005662173038778917,0.020144317813321377,0.01915395128708841,0.030079324612794167,0.006441384405142414,0.0288544039926254,0.00010318320186630814,0.030835862682005555,0.007063327382828888,0.015138259174007018,0.009531080794457303,0.0038797332855891042,0.0328444672713637,0.016745467439914008,0.02169578636529268,0.013356362936190358,0.016465459903136193,0.025889035844225194,0.0015519314408802831,0.012470999379547543,0.030166119405943492,0.019642799909416864,0.014902700407025737,0.018746887629349396,0.002034160558321174,0.02244133447268054
2009-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011949982216741262,0.0028828354099514897,0.0,0.007675289256784595,0.003665974522164439,0.0001805449884328958,0.0,0.01568575349261092,0.0037448173043688193,0.002287059512924239,0.0026586118378726376,0.0,0.0,0.0,0.0,0.0076320916759242685,0.0,0.0003364220812376306,0.0050458436887259595,0.0,0.0,0.004059707068272356,0.0,0.0017569139063720596,0.0
2009-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01476367939188794,0.0,0.0,0.009317363695334757,0.0,0.0,0.00499761793007103,0.0,0.0,0.0,0.0,0.0,0.0,0.009215022998836364,0.0,0.0,0.0,0.01886299644763767,0.0,0.000883002264878141,0.0,0.0,0.0,0.0
2009-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025866384442174706,0.0,0.0,0.007057073730634134,0.0,0.00022025479944787207,0.0,0.0,0.001505383666165594,0.002414293784970045,0.0,0.0,0.0,0.002180627150802472,0.0030336761055691497,0.0,0.00027795048271683775,0.025198439648451476,0.0,0.0014699399971487281,0.0,0.0,0.0,0.0
