Date,USDBCH,USDDOGE,USDBTC,USDLTC,USDUSDT,USDETH,USDLINK,USDBNB,USDADA,USDBUSD,USDXRP,USDPKR,USDNOK,USDKRW,USDHUF,USDCHF,USDBRL,USDHKD,USDRUB,USDJPY,USDDKK,USDSGD,USDILS,USDSEK,USDCAD,USDZAR,USDMXN,USDINR,USDCZK,USDCNY,USDCLP,USDPLN,USDTRY,USDEUR,USDNZD,USDGBP,USDAUD
2015-07-26,0.0024209557933472133,5344.735435595938,0.0034165840992176023,0.2145922746781116,1.0,0.36101083032490977,5.285412262156448,9.442870632672333,40.04805766920305,9.442870632672333,123.22858903265556,101.75,8.1716,1166.56,279.56,0.9623,3.3635,7.7511,59.9955,123.22,6.7291,1.3681,3.767,8.5053,1.3038,12.6151,16.2907,64.1922,24.351,6.2191,665.76,3.7145,2.7703,0.901631953836444,1.5151515151515151,0.6428387760349704,1.3758943313153549
2015-07-27,0.0024209557933472133,5305.039787798409,0.0034057625502349974,0.21413276231263384,1.0,0.36101083032490977,5.285412262156448,9.442870632672333,40.04805766920305,9.442870632672333,116.795141322121,101.75,8.1716,1166.56,279.56,0.9623,3.3635,7.7511,59.9955,123.22,6.7291,1.3681,3.767,8.5053,1.3038,12.6151,16.2907,64.1922,24.351,6.2191,665.76,3.7145,2.7703,0.901631953836444,1.5151515151515151,0.6428387760349704,1.3758943313153549
2015-07-28,0.0024209557933472133,5307.855626326964,0.003396393030601501,0.19762845849802374,1.0,0.36101083032490977,5.285412262156448,9.442870632672333,40.04805766920305,9.442870632672333,118.35720203574388,101.7,8.1644,1159.46,279.48,0.962,3.3573,7.7506,59.868,123.55,6.7464,1.3628,3.7766,8.5633,1.2918,12.566,16.2705,63.7892,24.441,6.2162,665.1,3.7236,2.759,0.904322662325918,1.4961101137043686,0.6406560317765392,1.3635124079629124
2015-07-29,0.0024209557933472133,5420.054200542005,0.0034531579129113577,0.20833333333333334,1.0,0.36101083032490977,5.285412262156448,9.442870632672333,40.04805766920305,9.442870632672333,117.38466956215518,101.8,8.1458,1161.04,281.34,0.9675,3.3298,7.7512,58.494,123.92,6.7923,1.3687,3.7803,8.6293,1.2943,12.5265,16.284,63.8112,24.646,6.2169,666.22,3.7544,2.764,0.9104151493080844,1.5010507355148603,0.640943468786053,1.3715539706487452
2015-07-30,0.0024209557933472133,5455.537370430987,0.0034756012790212705,0.2183406113537118,1.0,0.36101083032490977,5.285412262156448,9.442870632672333,40.04805766920305,9.442870632672333,117.7717583323519,101.79,8.1685,1172.17,282.13,0.969,3.3705,7.7534,59.7355,124.14,6.8243,1.3746,3.7789,8.6164,1.2999,12.6961,16.2671,64.1277,24.72,6.2202,671.58,3.7876,2.7814,0.9148293843198244,1.5163002274450341,0.6410667350471184,1.3717421124828533
2015-07-31,0.0024209557933472133,5428.881650380022,0.0035130862462673463,0.21551724137931036,1.0,0.36101083032490977,5.285412262156448,9.442870632672333,40.04805766920305,9.442870632672333,118.52554225435581,101.75,8.1722,1165.67,279.52,0.9655,3.4204,7.7528,61.726,123.92,6.7934,1.3716,3.7706,8.6195,1.3086,12.671,16.1077,63.9779,24.623,6.2205,674.0,3.7723,2.77,0.910166560480568,1.5192950470981463,0.6401229035974907,1.3694878115584772
2015-08-01,0.0024209557933472133,5714.285714285715,0.0035511363636363635,0.24096385542168672,1.0,0.36101083032490977,5.285412262156448,9.442870632672333,40.04805766920305,9.442870632672333,121.62490878131841,100.6,7.6202,1094.51,267.8,1.0183,2.662,7.7544,59.86,119.65,6.308,1.3361,3.9544,8.0287,1.1829,11.5805,14.6632,62.67,23.625,6.2178,612.58,3.6296,2.298,0.8480325644504749,1.278281989006775,0.6628222973420826,1.2312238364934744
2015-08-02,0.0024209557933472133,5797.101449275363,0.003538445207175967,0.23980815347721823,1.0,0.36101083032490977,5.285412262156448,9.442870632672333,40.04805766920305,9.442870632672333,121.50668286755773,101.79,8.0537,1091.93,274.92,0.9665,3.0487,7.7498,53.637,120.12,6.9322,1.3565,3.9315,8.6709,1.2541,11.8125,14.9039,62.1818,25.385,6.205,611.0,3.718,2.5985,0.9277298450691158,1.3252054068380599,0.6727664155005383,1.3019138133055592
2015-08-03,0.0024209557933472133,5770.3404500865545,0.0035558084130427052,0.24038461538461536,1.0,0.36101083032490977,5.285412262156448,9.442870632672333,40.04805766920305,9.442870632672333,120.75836251660428,101.79,8.0537,1091.93,274.92,0.9665,3.0487,7.7498,53.637,120.12,6.9322,1.3565,3.9315,8.6709,1.2541,11.8125,14.9039,62.1818,25.385,6.205,611.0,3.718,2.5985,0.9277298450691158,1.3252054068380599,0.6727664155005383,1.3019138133055592
2015-08-04,0.0024209557933472133,5688.282138794085,0.0035060654933034147,0.22831050228310504,1.0,0.36101083032490977,5.285412262156448,9.442870632672333,40.04805766920305,9.442870632672333,120.90436464756377,101.79,8.0537,1091.93,274.92,0.9665,3.0487,7.7498,53.637,120.12,6.9322,1.3565,3.9315,8.6709,1.2541,11.8125,14.9039,62.1818,25.385,6.205,611.0,3.718,2.5985,0.9277298450691158,1.3252054068380599,0.6727664155005383,1.3019138133055592
