,USDBCH,USDDOGE,USDBTC,USDLTC,USDUSDT,USDETH,USDLINK,USDBNB,USDADA,USDBUSD,USDXRP,USDPKR,USDNOK,USDKRW,USDHUF,USDCHF,USDBRL,USDHKD,USDRUB,USDJPY,USDDKK,USDSGD,USDILS,USDSEK,USDCAD,USDZAR,USDMXN,USDINR,USDCZK,USDCNY,USDCLP,USDPLN,USDTRY,USDEUR,USDNZD,USDGBP,USDAUD
2009-01-01,0.023629966137563713,0.49635438209755023,0.0003957020533448591,0.001269694175607726,3.461571029448893e-05,0.057906822592745655,0.00942321491411124,0.005944616933308801,0.18451989368485766,0.005944616933308801,4.0287092300819944e-05,0.00010085742593443662,5.285620960448338e-05,6.838545955740823e-08,6.570439747844212e-05,8.575140045544768e-06,2.0064812802900838e-10,6.175466063730274e-09,0.00024117963208703625,5.910716823872639e-05,6.505917624042161e-06,1.1022613922484061e-05,6.450715023693552e-05,2.336687506804473e-05,8.138942263692438e-06,1.3658342603835527e-05,3.879201534604841e-05,3.3210722522848716e-05,2.6533971098740773e-05,5.853930887834672e-10,0.0,4.927306174068379e-05,2.877203463818735e-07,6.060626523049414e-06,3.963867248563653e-05,8.065216044755102e-06,4.455828713399277e-06
2009-01-02,0.023629966137563713,0.49635438209755023,0.0003957020533448591,0.001269694175607726,3.461571029448893e-05,0.057906822592745655,0.00942321491411124,0.005944616933308801,0.18451989368485766,0.005944616933308801,4.0287092300819944e-05,0.00010085742593443662,9.297684528141114e-05,0.00045927256971019654,0.00043527637940117244,5.995050461841048e-05,5.313183598722762e-05,4.421194277881704e-08,2.3425574987034443e-05,7.610197467247326e-05,4.365476754360956e-05,1.077500192855362e-05,7.97600142905712e-05,0.0001238048490366262,6.353427837617299e-05,0.00046966895500582856,0.00020527724533430625,4.2015113655988744e-05,0.00019953487347266753,4.646896714346333e-07,7.712981444469399e-05,0.0008255553640309757,0.00028996782591391015,4.151172544419714e-05,0.0004100951924544101,7.156473773767762e-05,0.00017044863017734536
2009-01-03,0.023629966137563713,0.49635438209755023,0.0003957020533448591,0.001269694175607726,3.461571029448893e-05,0.057906822592745655,0.00942321491411124,0.005944616933308801,0.18451989368485766,0.005944616933308801,4.0287092300819944e-05,0.00010085742593443662,9.297684528141114e-05,0.00045927256971019654,0.00043527637940117244,5.995050461841048e-05,5.313183598722762e-05,4.421194277881704e-08,2.3425574987034443e-05,7.610197467247326e-05,4.365476754360956e-05,1.077500192855362e-05,7.97600142905712e-05,0.0001238048490366262,6.353427837617299e-05,0.00046966895500582856,0.00020527724533430625,4.2015113655988744e-05,0.00019953487347266753,4.646896714346333e-07,7.712981444469399e-05,0.0008255553640309757,0.00028996782591391015,4.151172544419714e-05,0.0004100951924544101,7.156473773767762e-05,0.00017044863017734536
2009-01-04,0.023629966137563713,0.49635438209755023,0.0003957020533448591,0.001269694175607726,3.461571029448893e-05,0.057906822592745655,0.00942321491411124,0.005944616933308801,0.18451989368485766,0.005944616933308801,4.0287092300819944e-05,0.00010085742593443662,9.297684528141114e-05,0.00045927256971019654,0.00043527637940117244,5.995050461841048e-05,5.313183598722762e-05,4.421194277881704e-08,2.3425574987034443e-05,7.610197467247326e-05,4.365476754360956e-05,1.077500192855362e-05,7.97600142905712e-05,0.0001238048490366262,6.353427837617299e-05,0.00046966895500582856,0.00020527724533430625,4.2015113655988744e-05,0.00019953487347266753,4.646896714346333e-07,7.712981444469399e-05,0.0008255553640309757,0.00028996782591391015,4.151172544419714e-05,0.0004100951924544101,7.156473773767762e-05,0.00017044863017734536
2009-01-05,0.023629966137563713,0.49635438209755023,0.0003957020533448591,0.001269694175607726,3.461571029448893e-05,0.057906822592745655,0.00942321491411124,0.005944616933308801,0.18451989368485766,0.005944616933308801,4.0287092300819944e-05,1.376260979735034e-07,3.3816601143410335e-05,0.0,3.9309449266366255e-05,1.5192941754309767e-05,8.916764321844585e-06,2.4135457826656214e-08,1.1457411876814143e-05,4.9758709346367716e-05,3.3185839615930806e-05,1.5233502077237946e-05,3.973696387991193e-05,8.956483001822861e-05,3.348480337743815e-05,0.000158505020847413,5.148320320668004e-05,8.502402487014963e-06,6.020015855641939e-05,5.861660549264994e-10,7.519236919645449e-06,6.798655757235832e-05,2.1371357834956144e-05,3.201284921411406e-05,0.00015796746131291125,4.100455779396224e-05,8.408177137315682e-05
2009-01-06,0.023629966137563713,0.49635438209755023,0.0003957020533448591,0.001269694175607726,3.461571029448893e-05,0.057906822592745655,0.00942321491411124,0.005944616933308801,0.18451989368485766,0.005944616933308801,4.0287092300819944e-05,3.7754852560129195e-05,0.00033199689759738844,0.00011005941855346394,0.0003561587684455581,5.159649910914686e-05,0.00010369272795073773,4.856283085128681e-08,4.9985986631591575e-05,0.00024194956610477724,5.214646415232745e-05,1.9025784917399863e-05,0.00021025708151826115,0.0003508596317079737,0.00011348203904529229,0.00025375709439199825,0.00017096953679561453,4.454211725105037e-06,0.0002066648636726129,2.0331966565324213e-07,7.012120050397248e-05,0.00044295114041257997,8.995973701013303e-05,5.2130194463483115e-05,0.00040396157184968603,0.00010643784326467278,0.00016903115135804116
2009-01-07,0.023629966137563713,0.49635438209755023,0.0003957020533448591,0.001269694175607726,3.461571029448893e-05,0.057906822592745655,0.00942321491411124,0.005944616933308801,0.18451989368485766,0.005944616933308801,4.0287092300819944e-05,6.728142410293425e-07,0.00018260376779464588,5.559229951538107e-05,0.00020071569400075136,9.41505007083795e-05,7.10439359929737e-05,6.579372513950863e-09,2.9575623454352686e-05,3.62613910574602e-05,7.834808754351258e-05,1.5033415027125063e-05,0.00019814508104648603,0.0002594073172728724,0.00011783133247998453,0.00021325339211087578,5.2485200926743305e-05,2.2560818863680165e-05,0.00021318446036629196,3.975256230731732e-08,4.68172280503426e-05,0.00031506211693395315,7.854215086441327e-05,7.542179834524725e-05,7.074945885035043e-05,4.9604965840047644e-05,5.899721727180152e-05
2009-01-08,0.023629966137563713,0.49635438209755023,0.0003957020533448591,0.001269694175607726,3.461571029448893e-05,0.057906822592745655,0.00942321491411124,0.005944616933308801,0.18451989368485766,0.005944616933308801,4.0287092300819944e-05,9.424911982490467e-06,0.00025101154107084117,4.79821477054414e-05,0.0004144125447250637,0.00010491888532062425,0.00023143273975756678,1.19584719383052e-08,5.697154593530172e-05,2.4330373186510895e-05,7.83779941155926e-05,1.4253302195024401e-05,8.404223751744733e-05,0.000360547994756741,0.0001316678051299116,0.00040999225958775914,0.00012716967499861782,5.97450684104067e-05,0.00018246597722878195,2.9478173334913624e-08,9.60389378477455e-06,0.0005176017425241711,0.00013347982773271444,7.66760080482658e-05,0.00021923275121478708,0.00011210243705343442,0.00013700456646960463
2009-01-09,0.023629966137563713,0.49635438209755023,0.0003957020533448591,0.001269694175607726,3.461571029448893e-05,0.057906822592745655,0.00942321491411124,0.005944616933308801,0.18451989368485766,0.005944616933308801,4.0287092300819944e-05,9.424911982490467e-06,0.00025101154107084117,4.79821477054414e-05,0.0004144125447250637,0.00010491888532062425,0.00023143273975756678,1.19584719383052e-08,5.697154593530172e-05,2.4330373186510895e-05,7.83779941155926e-05,1.4253302195024401e-05,8.404223751744733e-05,0.000360547994756741,0.0001316678051299116,0.00040999225958775914,0.00012716967499861782,5.97450684104067e-05,0.00018246597722878195,2.9478173334913624e-08,9.60389378477455e-06,0.0005176017425241711,0.00013347982773271444,7.66760080482658e-05,0.00021923275121478708,0.00011210243705343442,0.00013700456646960463
2009-01-10,0.023629966137563713,0.49635438209755023,0.0003957020533448591,0.001269694175607726,3.461571029448893e-05,0.057906822592745655,0.00942321491411124,0.005944616933308801,0.18451989368485766,0.005944616933308801,4.0287092300819944e-05,4.7530244686107056e-05,6.083940404984388e-05,0.00010571433939749814,0.00010854885389980502,5.70533009258547e-05,9.389626259525385e-05,4.083065895524586e-09,8.71348513813672e-06,3.688118346264749e-05,4.057473695305642e-05,1.7084505025625873e-05,4.7562028859758255e-05,8.568600415845054e-05,6.399581328392107e-05,0.0003682468150505539,8.206358162889487e-05,2.1156963795683448e-05,0.00020413942461326365,0.0,3.486191101572639e-05,0.0001655349426726641,9.65447603866185e-05,3.408756627454348e-05,8.900160285186815e-05,1.3932292752600351e-05,0.00013713820240223703
