,USDBCH,USDDOGE,USDBTC,USDLTC,USDUSDT,USDETH,USDLINK,USDBNB,USDADA,USDBUSD,USDXRP,USDPKR,USDNOK,USDKRW,USDHUF,USDCHF,USDBRL,USDHKD,USDRUB,USDJPY,USDDKK,USDSGD,USDILS,USDSEK,USDCAD,USDZAR,USDMXN,USDINR,USDCZK,USDCNY,USDCLP,USDPLN,USDTRY,USDEUR,USDNZD,USDGBP,USDAUD
2009-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07014975830535786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000715819644022897,0.0,0.0,0.0,-0.0005611357534585082,0.0,0.0,-0.0007689350628772296,0.0,0.0,0.0,0.0,-0.005536772065132034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005021852125031034,0.0
2009-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00825121806014506,0.0,0.0,0.0,-0.00466201310581138,0.0,0.0,0.0,0.0,0.0,-0.00798047741722474,-0.016340095314740122,0.0,-0.01996074256253788,-0.01088820842914906,0.0,0.0,0.0,0.0,0.0,-0.010215858279367773,0.0,0.0,-0.005679306380214744,-0.008762709038730998
2009-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028213408013363805,-0.029167215249443323,-0.007270685674958699,-0.00554018037561535,-0.0055378203293112715,-0.0003350947318376818,0.0,0.0,-0.011880272916062973,-0.003553830809751135,-0.013531301955283181,-0.011104927221166072,-0.003040002341208603,0.0,-0.004241711669091153,-0.004924096941617329,0.0,0.0,-0.010922048824580699,0.0,0.0,-0.011339704215127255,-0.016602484285027863,-0.005918585935908327,-0.011664555764930862
2009-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004307621002683781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002205558015111464,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019832333192906226,-0.0024711709445397467,0.0,-0.00033646637482331876,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006681152704222093,-0.009641566349810837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03498878405183414,0.0,-0.026073941196872674,0.0,-0.016557372520623947,0.0,-0.014846508116994173,-0.004128778950064138,-0.011035795204419996,-0.006924128862218881,0.0,-0.031765559407531896,-0.008722599114531354,-0.03243313739953635,-0.016712279567855592,-0.0002040608108297981,-0.017451464791508275,-0.00016082459188870857,-0.0043231193741171126,-0.023256163340283242,-0.014472032608534413,-0.011725815135081252,-0.025105921131076347,-0.005595423494035856,-0.025163355902741158
2009-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00859850525523187,-1.2887677447448453e-05,0.0,-0.007182165313854405,0.0,0.0,0.0,0.0,-0.0019132658897617894,0.0,0.0,0.0,0.0,-0.0003217267982300598,-0.004664262577466438,0.0,0.0,0.0,0.0,0.0,0.0
